typing_speed,key_hold_avg_ms,key_flight_avg_ms,mouse_velocity,scroll_speed,idle_time_s,click_deviation_px
4.347699907107863,123.62579509961634,153.13061256619767,493.0833480027105,256.6957467997648,1.565946395820696,5.528193539084001
3.903214989180171,93.40102416480275,139.26486147186867,355.75374303297656,310.6092523283639,3.451306980596897,5.842671645652443
4.453381976670484,125.65290656190189,153.05743757580709,310.4115263162676,267.1991949247641,4.25551003984104,14.149436287357778
5.066120899485618,134.40148145848912,163.5824507259097,254.03999251710212,283.7006933804368,8.397837783212342,8.002048456872448
3.836092637693665,117.44182825802662,151.2215017581426,233.78022266208384,400.4071254179122,6.001795624160764,10.346390004594378
3.8361041301355736,143.78232462604518,151.01479228009705,249.11048398961572,380.42766310742087,2.5961331756201953,5.627301854997341
5.105448970855174,96.07179441613569,132.4502078048311,378.69886557080383,222.02512578434414,5.874865320951747,5.660441161335084
4.537204310407036,87.5962153403945,133.42747706122628,395.61075162609535,349.7839450727505,2.214852819910942,11.245954427749826
3.6713679298455335,77.98303551972299,114.93486820500766,249.31665085775066,348.68379326949554,6.948843896996732,3.951271365345404
4.379792030510175,136.9287976068053,193.7394185796735,422.65268198532806,231.1042026748429,4.151975626727818,6.754358696284186
3.6756076150312764,121.77858181437304,118.90341911521787,326.18572638215926,349.1266586252916,4.831454860269493,8.102082233216697
3.67398917250082,108.99947592361181,132.6773700551023,370.27551083898845,392.27591510475315,7.386433965575942,8.334117805520158
4.169373590096224,115.03943527375677,132.03981836077006,472.8554439778797,232.64731162533516,2.68310557654835,7.462720144951531
2.6607038287395417,89.74119714862923,172.37310942361103,422.7787521105872,244.94983073914418,2.4851872667966157,9.18745934328777
2.792557517240877,154.02353563310288,142.6262580426993,341.20285464659173,361.05968801061016,3.9495212125771912,10.078567267453435
3.6063987295313193,112.3259812755541,181.19355181684335,297.6165442209299,316.2897186495389,6.86908193183477,10.20391263637799
3.291018215765903,111.96910630288806,133.1627343939033,209.37292190694865,333.0885765143714,2.2651770641416835,5.04258857399652
4.219973132816691,123.06379923017646,156.97485405559505,309.6592676530306,320.4353529840298,0.5,7.147534706213609
3.364383147135152,118.65816617126083,129.11632366850606,345.2208832820614,323.44175525568863,4.1879140548638025,11.584288585630812
3.011387409065296,114.02991243702436,203.6287281943347,290.8974330994171,220.41167230133502,5.9931334398396565,10.683941562721618
5.025954138245088,95.77145980198438,120.31003952426218,350.81201230353867,362.8390623972869,7.160471149529893,3.8814216455568085
3.841956589659425,118.48643042844792,157.74551775567568,365.37963180711375,370.17539954566644,4.166309548246282,9.054439701056605
4.0472697432815465,143.8764409365506,165.84442202330246,344.2600812734345,286.2365553559183,4.259432107191196,2.0653242518755697
3.00267626965058,134.2175608307896,160.34497743628745,314.4998193423578,297.3913830111683,7.077021321660345,8.14080470618111
3.618932092832372,138.67735927950915,145.36780852805728,371.80582703767095,208.13354984665668,1.6344649405482428,13.693301050237931
4.077645812796907,100.79811782423867,146.75448250666435,390.93584546985863,330.8552853610701,4.300662604670583,5.156321848193041
3.194304495804388,92.18711323534555,151.09528679947775,283.6720645790008,334.32344650284864,5.342763001865104,5.497030863525254
4.26298861284197,107.73583543820634,146.32494995928778,458.7652665822389,296.26853898004134,5.808593698313062,10.292089344718578
3.5795529170568363,111.0030484211965,174.09697791987276,353.0988307401017,367.46120159223017,4.082347952256411,3.3715954543710627
3.7958143751447064,129.69544733247707,205.26307503978379,361.31947360613935,279.95536614120357,5.061993821070514,6.101734910344883
3.5788053714394223,79.53563666513325,136.06270537480415,409.575009627959,333.876355553616,0.5210107638566184,9.789323412745258
5.296594729156256,137.53190575029106,115.75492551052305,376.3251291884451,238.82013967847305,3.815152857799073,6.097142456931791
3.9905519426834464,107.1558578255782,147.79294879121863,426.71956437392714,298.5868709475457,5.8163156825980415,7.2920900383670855
